,,,,
Sno,Word,Count,statement,polarity
1,meeting,1794,"#IYM2023 Millets (Shree Anna) exhibition during the working group meetings, along with a millet-based lunch and a specially curated millet hamper for all foreign dignitaries were major highlights at G20 & SCO presidency in India via NaMo App",0.1530931089
2,summit,1556,"50 companies of Central Paramilitary Forces were in Punjab , since the beginning of 2nd March. All in the name of G20 summit. 10 CRPF 12 BSF 10 ITBP 10 SSB 8 RPF When SSB, BSF AND ITBP companies were in Punjab, it was clear that the orders came from Amit Shah's office. +",0.3818191679
3,@g20org,1420,"#T20India is an official Engagement Group of the #G20. @T20org will serve as an ""ideas bank"" for @g20org by bringing together think tanks & high-level experts to discuss policy issues relevant to the G20 under #India's Presidency Know more ðŸ‘‡ https://t.co/C0yxDXITyA",0.7184212081
4,#india,1419,"#NamoAtConclave | From infrastructure, economy to G20 meets and Oscar wins, PM Modi (@narendramodi) highlights the progress and achievements that India has made in the 75 days of 2023 so far. #IndiaTodayConclave 2023 Updates: https://t.co/MheEsCDNtt #Conclave23 #TheIndiaMoment https://t.co/xAQldkTMbh",0.757936729
5,country,1366,,
6,#g20india,1307,,
7,minister,1279,,
8,global,1181,,
9,foreign,863,,
10,#kashmir,776,,
11,russia,734,,
12,member,641,,
13,kashmir,627,,
14,#amritsar,607,,
15,budget,595,"@TOI_Nagpur Who gonna spend on this budget, most of the planted trees and decoration will move to the next city for #G20 meet..",0
16,ukraine,586,Putinâ€™s likely G20 visit to India in September will be watched closely after ICC warrant #Beijing #China #G20 #ICC_warrant #JoeBiden #Karim_A._A._Khan #Moscow #narendramodi #nytimes #Russia #TwitterIndia #ukraine #Vladimir_Putin #Xi_Jinping #... https://t.co/9HD2P0KwFi,0
17,pleasure,560,,
18,@indiag2o,548,,
19,@iitrpr,546,,
20,indian,506,,
21,nation,503,,
22,tourism,497,,
23,growth,490,,
24,likely,478,,
25,pakistan,469,,
26,people,467,,
27,economic,463,,
28,promote,447,,
29,economy,439,,
30,leader,429,,
31,russian,422,,
32,valley,396,,
33,remove,394,,
34,future,393,,
35,attend,391,,
36,failure,391,,
37,finance,390,,
38,chairman,382,,
39,discuss,379,,
40,lavrov,374,,
41,ongoing,364,,
42,propagate,359,,
43,policy,356,,
44,punjab,349,,
45,support,322,,
46,format,322,,
47,hegemony,319,,
48,globalism,317,,
49,incubate,317,,
50,digital,316,,
51,amritsar,315,,
52,#zionist,315,,
53,delegate,313,,
54,crypto,310,,
55,address,310,,
56,become,303,,
57,suggest,298,,
58,change,283,,
59,highlight,282,,
60,agenda,277,,
61,family,271,,
62,financial,270,,
63,president,268,,
64,blinken,268,,
65,national,246,,
66,report,240,,
67,action,240,,
68,central,235,,
69,impact,233,,
70,united,233,,
71,develop,226,,
72,reform,226,,
73,education,225,,
74,climate,222,,
75,increase,219,,
76,priority,218,,
77,against,218,,
78,include,208,,
79,provide,206,,
80,crisis,205,,